Wavelength (nm)	Spectral irradiance (W m-2 nm-1)	Cumulative photon flux (cm-2 s-1)
1021	0.698125	2.44538E+17
1022	0.690125	2.44893E+17
1023	0.691875	2.45249E+17
1024	0.690375	2.45605E+17
1025	0.694875	2.45963E+17
1026	0.693875	2.46321E+17
1027	0.6915	2.46678E+17
1028	0.690875	2.47036E+17
1029	0.685625	2.47391E+17
1030	0.687875	2.47747E+17
1031	0.685625	2.48103E+17
1032	0.684375	2.48458E+17
1033	0.676	2.48809E+17
1034	0.67775	2.49162E+17
1035	0.67975	2.49516E+17
1036	0.679125	2.4987E+17
1037	0.6735	2.50221E+17
1038	0.670875	2.50572E+17
1039	0.673	2.50923E+17
1040	0.6705	2.51274E+17
1041	0.67	2.51625E+17
1042	0.669125	2.51976E+17
1043	0.66425	2.52324E+17
1044	0.66525	2.52674E+17
1045	0.661125	2.53021E+17
1046	0.6485	2.53363E+17
1047	0.6545	2.53707E+17
1048	0.65975	2.54055E+17
1049	0.657	2.54402E+17
1050	0.6535	2.54747E+17
1051	0.6525	2.55092E+17
1052	0.64925	2.55436E+17
1053	0.647	2.55779E+17
1054	0.6455	2.56121E+17
1055	0.6465	2.56464E+17
1056	0.645	2.56807E+17
1057	0.642375	2.57148E+17
1058	0.6345	2.57486E+17
1059	0.6215	2.57817E+17
1060	0.63	2.58153E+17
1061	0.622375	2.58485E+17
1062	0.62825	2.58821E+17
1063	0.623375	2.59154E+17
1064	0.6285	2.59491E+17
1065	0.625875	2.59826E+17
1066	0.617	2.60157E+17
1067	0.618375	2.60489E+17
1068	0.614	2.60819E+17
1069	0.591375	2.61137E+17
1070	0.60225	2.61461E+17
1071	0.613375	2.61792E+17
1072	0.612625	2.62122E+17
1073	0.60575	2.62449E+17
1074	0.614125	2.62781E+17
1075	0.597375	2.63104E+17
1076	0.609	2.63434E+17
1077	0.604125	2.63761E+17
1078	0.60225	2.64088E+17
1079	0.602	2.64414E+17
1080	0.59475	2.64738E+17
